Managing DP,DP Project No,Project Title
Netherlands (Netherlands),24235,Food safety FAO
Department for International Development (DFID),GB-1-107480,English in Action
Department for International Development (DFID),GB-1-113287,Tax Administration - Compliance and Taxpayer Services (TACTS)
Department for International Development (DFID),GB-1-107370,Promoting Financial Services for Poverty Reduction in Bangladesh
Department for International Development (DFID),GB-1-114175,Chars Livelihoods Programme 2
Netherlands (Netherlands),24475,Water And Sanitation Health (WASH) Max foundation
Department for International Development (DFID),GB-1-107402,Economic Empowerment of the Poorest
Department for International Development (DFID),GB-1-204468,Strengthening Economic Systems in Bangladesh
Department for International Development (DFID),GB-1-200593,Strengthening Political Participation in Bangladesh
Department for International Development (DFID),GB-1-202958,Creating Opportunities for the Poor and Excluded in Bangladesh (COPE)
Department for International Development (DFID),GB-1-202660,Bangladesh Humanitarian Preparedness and Response
Department for International Development (DFID),GB-1-202976,Providing Clean Energy to the Rural Poor of Bangladesh
Department for International Development (DFID),GB-1-202123,Bangladesh Education Development Programme (BEDP)
Department for International Development (DFID),GB-1-203228,Underprivileged Children's Education and Skills Programme
Department for International Development (DFID),GB-1-113310,Bangladesh Policy Fund
United States Agency for International Development (USAID),AID-388-A-00-08-00111,Actions for Combating Trafficking-in-Persons (ACT)
United States Agency for International Development (USAID),AID-388-LA-13-00001,Bangladesh Election Support Activity (BESA)
United States Agency for International Development (USAID),AID-388-A-12-00004,Justice for All (JFA)
United States Agency for International Development (USAID),AID-388-LA-12-00001,Leadership Development Program (LDP)
United States Agency for International Development (USAID),AID-388-A-11-00002,Protecting Human Rights (PHR)
United States Agency for International Development (USAID),AID-388-TO-11-00001,Strengthening Democratic Local Governance (SDLG)
NONE (NONE),,Primary Education Development Program (PEDP-3)
United States Agency for International Development (USAID),AID-388-C-13-00001,Catalyzing Clean Energy in Bangladesh (CCEB)
United States Agency for International Development (USAID),AID-388-A-12-00007,Climate-Resilient Ecosystems and Livelihoods (CREL)
United States Agency for International Development (USAID),AID-388-A-14-00001,Bengal Tiger Conservation Activity (BAGH)
United States Agency for International Development (USAID),AID-388-A-00-10-00034,Promoting Talent Through Early Education (PROTEEVA)
United States Agency for International Development (USAID),AID-388-A-13-00005,Enhancing Essential Life Skills Program
United States Agency for International Development (USAID),AID-388-A-13-00006,Reading Enhancement for Advancing Development (READ)
United States Agency for International Development (USAID),AID-388-A-10-00002,Accelerating Agriculture Productivity Improvement (AAPI)
United States Agency for International Development (USAID),AID-388-G-00-05-00055,National Food Policy Capacity Strengthening Program (NFPCSP)
United States Agency for International Development (USAID),AID-388-A-13-00001,Agriculture Extension Capacity Building Activity
United States Agency for International Development (USAID),AID-388-A-12-00005,Agro-Inputs Project (AIP)
United States Agency for International Development (USAID),AID-388-TO-13-00002,Trade Facilitation Activity (TFA)
United States Agency for International Development (USAID),AID-388-C-13-00003,Agriculture Value Chain (AVC)
United States Agency for International Development (USAID),388-F-00-13-00001,Agriculture Infrastructure
United States Agency for International Development (USAID),AID-388-C-14-00001,Accelerating Capacity for Monitoring and Evaluation Activity (ACME)
United States Agency for International Development (USAID),AID-388-LA-13-00005,Agricultural Biotechnology Support Project (ABSP)
United States Agency for International Development (USAID),AID-388-IO-13-00004,Institutionalization of Food Safety in Bangladesh for Safer Food
United States Agency for International Development (USAID),AID-388-A-13-00004,Cold Chain Alliance- Winrock
United States Agency for International Development (USAID),,Bangladesh Loan Portfolio Guarantee DCA
United States Agency for International Development (USAID),AID-388-A-13-00003,Shishuke Khawano (SHIKHA)
United States Agency for International Development (USAID),AID-388-T-11-00001,Construction of Multi-Purpose Cyclone Shelters in Bangladesh (MPCS)
United States Agency for International Development (USAID),AID-388-G-13-00001,Strengthening Earthquake  Resilience in Bangladesh
Netherlands (Netherlands),24477,Partnership clean textile (IFC)
United States Agency for International Development (USAID),AID-388-A-12-00003,Marketing Innovations for Health (MIH)
United States Agency for International Development (USAID),AID-388-A-00-09-00123,HIV/AIDS Prevention Program (Modhumita)
United States Agency for International Development (USAID),AID-388-LA-13-00002,Mayer Hashi II
United States Agency for International Development (USAID),AID-388-A-00-09-00104,Integrated Safe Motherhood and Newborn Care Program (MaMoni)
United States Agency for International Development (USAID),AID-388-LA-13-00004,Health System Strengthening (HSS)
World Bank (WB),P090807,SKILLS AND TRAINING ENHANCEMENT PROJECT
United States Agency for International Development (USAID),AID-388-C-13-00002,Health System Development Project
United States Agency for International Development (USAID),AID-388-F-12-00001,Developing the Next Generation of Public Health Experts in Bangladesh
World Bank (WB),P106216,HIGHER EDUCATION QUALITY ENHANCEMENT PROJECT
World Bank (WB),P131394,REACHING OUT OF SCHOOL CHILDREN II
World Bank (WB),P113435,THIRD PRIMARY EDUCATION DEVELOPMENT PROGRAM
World Bank (WB),P095965,SIDDHIRGANJ POWER PROJECT
World Bank (WB),P131263,RURAL ELECTRIFICATION AND RENEWABLEENERGY DEVELOPMENT II
World Bank (WB),P098151,CLEAN AIR AND SUSTAINABLE ENVIRONMENT PROJECT
World Bank (WB),P129920,RURAL ELECTRICITY TRANSMISSION AND DISTRIBUTION
World Bank (WB),P040712,WATER MANAGEMENT IMPROVEMENT PROJECT
World Bank (WB),P084078,NATIONAL AGRICULTURAL TECHNOLOGY PROJECT
World Bank (WB),P120583,MODERN FOOD STORAGE FACILITIES PROJECT
World Bank (WB),P098146,PUBLIC PROCUREMENT REFORM PROJECT II
World Bank (WB),P121528,IDENTIFICATION SYSTEM FOR ENHANCED ACCESS TO SERVICES (IDEA) PROJECT
World Bank (WB),P118708,HEALTH SECTOR DEVELOPMENT PROGRAM
World Bank (WB),P106332,DISABILITY AND CHILDREN AT RISK PROJECT
World Bank (WB),P132634,SAFETY NET SYSTEMS FOR THE POOREST PROJECT
World Bank (WB),P114841,NORTHERN AREAS REDUCTION OF POVERTY INITIATIVE
World Bank (WB),P124514,LOCAL GOVERNANCE SUPPORT PROJECT II
World Bank (WB),P128276,COASTAL EMBANKMENT IMPROVEMENT PROJECT-PHASE 1
World Bank (WB),P133653,MUNICIPAL GOVERNANCE AND SERVICES PROJECT
International Fund for Agricultural Development  (IFAD),847-BD,Haor Infrastructure and Livelihood Improvement Project (HILIP)
World Bank (WB),P073886,EMPOWERMENT AND LIVELIHOOD IMPROVEMENT PROJECT (NOTUN JIBON)
Korea International Cooperation Agency (KOICA),KOICA 2012-01,Enhancing Cyber Crime Investigation Capability of Bangladesh
International Fund for Agricultural Development  (IFAD),847A-BD,Climate Adaptation and Livelihood Protection (CALIP) - Sub Project of the Haor Infrastructure and Livelihood Improvement Project (HILIP)
International Fund for Agricultural Development  (IFAD),807-BD,Charland Development and Settlement Project - Phase IV (CDSP IV)
International Fund for Agricultural Development  (IFAD),896-BD,Coastal Climate-Resilient Infrastructure Project (CCRIP)
International Fund for Agricultural Development  (IFAD),739-BD,National Agriculture Technology Project (NATP)
International Fund for Agricultural Development  (IFAD),725-BD,Finance for Enterprise Development and Employment Creation Project (FEDEC)
Japan International Cooperation Agency (JICA),,Improvement of the Capacity of Public Food Storage in the People's Republic of Bangladesh
Japan International Cooperation Agency (JICA),,the project for human resource development scholarship
Japan International Cooperation Agency (JICA),,the Project for Ground Water Investigation and Development of Deep Ground Water Source in Urban and Rural Areas
Japan International Cooperation Agency (JICA),,the Project for Improvement of Airport Safety and Security Systems
Japan International Cooperation Agency (JICA),,the Project for Human Resource Development Scholarship 
Japan International Cooperation Agency (JICA),BD-P53,Telecommunication Network Development Project
Japan International Cooperation Agency (JICA),BD-P54,Karnaphuli Water Supply Project
Japan International Cooperation Agency (JICA),BD-P56,Dhaka-Chittagong Railway Development Project
Japan International Cooperation Agency (JICA),BD-P57,Small Scale Water Resources Development Project
Japan International Cooperation Agency (JICA),BD--P58,New Haripur Power Plant Development Project (II)
Japan International Cooperation Agency (JICA),BD-P59,Central Zone Power Distribution Project
Japan International Cooperation Agency (JICA),BD-P60,Eastern Bangladesh Bridge Improvement Project
Japan International Cooperation Agency (JICA),BD-P61,Chittagong City Outer Ring Road Project
Japan International Cooperation Agency (JICA),BD-P62,Bheramara Combined Cycle Power Plant Development Project(ES)
Danish International Development Agency (DANIDA),,Strengthening Local Government Through Empowerment of Grass-roots Women
Japan International Cooperation Agency (JICA),BD-P63,Rural Electrification Upgradation Project
Japan International Cooperation Agency (JICA),BD-P64,South Western Bangladesh Rural Development Project
Japan International Cooperation Agency (JICA),BD-P54,Khulna Water Supply Project
Danish International Development Agency (DANIDA),,Access to Justice and Human Rights
Japan International Cooperation Agency (JICA),BD-P67,Financial Sector Project for the Development of SMEs
Japan International Cooperation Agency (JICA),BD-P69,Dhaka Mass Rapid Transit Development Project (I)
Japan International Cooperation Agency (JICA),BD-P70,National Power Transmission Network Development Project
Japan International Cooperation Agency (JICA),BD-P62,Bheramara Combined Cycle Power Plant Development Project
Japan International Cooperation Agency (JICA),BD-P72,The Kanchpur; Meghna and Gumti Bridges Project (I)
Japan International Cooperation Agency (JICA),BD-P73,Karnaphuli Water Supply Project (Phase 2)
Japan International Cooperation Agency (JICA),BD-P74,Northern Bangladesh Integrated Development Project
Japan International Cooperation Agency (JICA),BD-P75,Renewable Energy Development Project
Korea International Cooperation Agency (KOICA),KOICA 2012-02,Establishment of IT labs in secondary schools in Dhaka district
Korea International Cooperation Agency (KOICA),KOICA 2012-03,Establishment of National Institute of Advanced Practice Nurses in Bangladesh
Korea International Cooperation Agency (KOICA),KOICA 2012-04,Establishing Data Center & Web-Portal System for Digital BRTA
Korea International Cooperation Agency (KOICA),KOICA 2013-01,KOICA-WFP Saemaul Zero Hunger Communities Project
Korea International Cooperation Agency (KOICA),KOICA 2013-02,Modernization and Strengthening of Training Institute for Chemical Industries
Japan International Cooperation Agency (JICA),BD-P76,Matarbari Ultra Super Critical Coal-Fired Power Project (I)
Japan International Cooperation Agency (JICA),BD-P77,Small Sized Farmers Agricultural Financing Project
Japan International Cooperation Agency (JICA),BD-P78,Natural Gas Efficiency Project
Japan International Cooperation Agency (JICA),,Inclusive City Governance Project
Japan International Cooperation Agency (JICA),BD-P80,Haor Flood Management and Livelihood Improvement Project
Korea International Cooperation Agency (KOICA),KOICA 2011-01,Enhancing the Vocational Training Program of TTC; Chittagong
Korea International Cooperation Agency (KOICA),KOICA 2010-01,Establishment of ICT and Web based learning System in Bangladesh Open University
Korea International Cooperation Agency (KOICA),KOICA 2009-01,Solar Powered Irrigation Pump and Solar Home System
Korea International Cooperation Agency (KOICA),KOICA 2011-02,KOICA-UNICEF Home-based Maternal and Newborn Care Interventions
Korea International Cooperation Agency (KOICA),KOICA 2011-03,Strengthening the Research Capability of Bangladesh Rice Research Institute
Netherlands (Netherlands),24515,Knowledge development on SRHR
Netherlands (Netherlands),24552,SaFaL food security
Netherlands (Netherlands),24595,Menstrual Regulation  Marie Stopes
World Health Organization (WHO),As per Basic Agreement between WHO and GOB,WHO Programme Budget for the Biennium 2014-2015
Korea International Cooperation Agency (KOICA),KOICA 2014-01,Eye Health Promotion and Prevention of Blindness in Bangladesh
Korea International Cooperation Agency (KOICA),KOICA 2014-02,Establishment of the e-Government Master Plan for Digital Bangladesh
Food and Agriculture Organization  (FAO),GTFS/BGD/041/ITA,Food Security through Enhanced Agricultural Production Diversified Sources of Income; Value Addition and Marketing in Bangladesh
Food and Agriculture Organization  (FAO),TCP/BGD/3501,Enhancing aquaculture production for food security and rural development through better seed and feed production and management with special focus on Public Private Partnership
Food and Agriculture Organization  (FAO),TCP/BGD/3408,Emergency assistance to support the recovery of crop-based livelihood systems of marginal farmers affected by communal violence and loss of agricultural capital in Taindong union; Khagrachari District; Chittagong Hill Tracts
Food and Agriculture Organization  (FAO),TCP/BGD/3407,Rain water harvesting in Hilly creeks/ charas to Restore sustainable Agriculture-Based Livelihoods in Hilly areas of Chittagong Hill Tracts
Food and Agriculture Organization  (FAO),TCP/BGD/3406,Support for Establishing Seed Multiplication Farm; Seed Processing Centre and Seed Testing Laboratory in the South-Western Coastal Region
Food and Agriculture Organization  (FAO),TCP/BGD/3404,Establishing Breeding and Post Harvest Laboratory of Mushroom in National Mushroom Development and Extension Centre
Food and Agriculture Organization  (FAO),TCP/BGD/3401,Harmonisation and Dissemination of Unified Agricultural Production Statistics in Bangladesh
Food and Agriculture Organization  (FAO),GCP/BGD/037/MUL,National Food Policy Capacity Strengthening Programme (NFPCSP) USA - (Phase II of GCP/BGD/034/MUL)
Food and Agriculture Organization  (FAO),GCP/BGD/037/MUL,National Food Policy Capacity Strengthening Programme (NFPCSP) EC - (Phase II of GCP/BGD/034/MUL)
Food and Agriculture Organization  (FAO),GCP/BGD/047/NET,Improving Food Safety in Bangladesh
Food and Agriculture Organization  (FAO),GCP/BGD/048/USA,Improving Household Food and Nutrition Security of Women and Children through improved Backyard and Small-Scale Poultry Production
Food and Agriculture Organization  (FAO),GCP/BGD/049/USA,Integrated Agriculture and Health-based Interventions for Improved Food and Nutrition Security in Selected Districts of Southern Bangladesh
Food and Agriculture Organization  (FAO),GCP/BGD/050/NET,Enhancing Food Security through improved crop water management practices in the Southern Coastal areas of Bangladesh
Food and Agriculture Organization  (FAO),GCP/BGD/053/USA,Strengthening the Environment; Forestry and Climate Change Capacities of the Ministry of Environment and Forests and its Agencies
Food and Agriculture Organization  (FAO),GCP/BGD/054/USA,Institutionalization of Food Safety in Bangladesh for Safer Food
Food and Agriculture Organization  (FAO),GCP/BGD/056/LDF,Community-based Climate Resilient Fisheries and Aquaculture Development in Bangladesh (PPG)
Food and Agriculture Organization  (FAO),OSRO/BGD/303/USA,Strengthening National Capacity to Respond to Highly Pathogenic Avian Influenza (HPAI) and Emerging and Re-Emerging Diseases in Bangladesh
Food and Agriculture Organization  (FAO),OSRO/BGD/401/EC,Strengthening the Food Security Cluster in Bangladesh through Improved Cluster Coordination; Information Management; Needs Assessment and Integrated Phase Classification
Food and Agriculture Organization  (FAO),UTF/BGD/044/BGD,Integrated Agriculture Development Programme for Agro-ecologically Constrained and Economically Depressed Areas - Technical Assistance Component: Capacity Development in Agriculture and Food Security Investment Programmes
Food and Agriculture Organization  (FAO),MTF/BGD/046/STF,Building trade capacity of small-scale shrimp and prawn farmers in Bangladesh. Investing in the Bottom of the Pyramid Approach
Food and Agriculture Organization  (FAO),MTF/BGD/052/RBK,Linking School Milk with Smallholder Dairy Development in Tala; Satkhira; Bangladesh
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),A032583001,Strengthening Comptrollership and Oversight of Public Expenditure
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),A034608001,Human Resources for Health
United Nations Population Fund  (UNFPA),BGD8A100-FPA90,Programme Coordination and Assistance - PCA (Umbrella)
United Nations Population Fund  (UNFPA),BGD8A101-FPA90,Programme Management
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),A033504001,Early Childhood Development Support
United Nations Population Fund  (UNFPA),BGD8U102-FPA90,Strengthening Parliament's Capacity in integrating Population Issues into Development
United Nations Population Fund  (UNFPA),BGD8U102-FPA90,Strengthening capacity of General Economic Division - GED to integrate population issues into development plans
United Nations Population Fund  (UNFPA),BGD8U102-FPA90,Enhance the capacity of SEID to integrate population and gender issue into sectoral planning
United Nations Population Fund  (UNFPA),BGD8U702-FPA90,Strengthening capacity of teaching and research facilities at the Department of Population Science; University of Dhaka
United Nations Population Fund  (UNFPA),BGD7P101-EUA58,Supporting Bangladesh Population and Housing Census - 2011
United Nations Population Fund  (UNFPA),BGD8U701 - EUA58,Bangladesh Bureau of Statistics; Population and Development data collection using GIS
European Union/European Commission (EU/EC),DCI-ASIE/2011/262788,SHIKHON 2 - Supporting the Hardest to Reach  through Basic Education
Australian Aid for International Development (Australian Aid),,The Strategic Partnership Arrangement with BRAC
European Union/European Commission (EU/EC),DCI-ASIE/2011/262796,Unique Intervention for Quality Primary Education (UNIQUE II)
European Union/European Commission (EU/EC),DCI-ASIE/2013/325733,Ultra Poor Programme -Ujjibito (UPP-Ujjibito)
European Union/European Commission (EU/EC),DCI-ASIE/2011/262792,SHARE: Supporting the Hardest to Reach Through Basic Education  : Aloghar (Lighthouse)
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),A034149001,Program Support Unit - Phase IV
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),A034250001,BRAC Primary Education Program II
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),A034963001,Institutional Support to the International Centre for Diarrhoeal Disease Research; Bangladesh-III
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),A035190001,Joint Government of Bangladesh-UN Maternal and Neonatal Health Project
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),A035191001,Immunization Strengthening Project - CIII
United Nations Population Fund  (UNFPA),BGD8U501-FPA90,Advancement and promoting women's right through DWA
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),A035230001,Skills for Employment and Productivity
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),A035530001,Improving Health and Nutrition for Hard-to-Reach Mothers and Young Children
Department of Foreign Affairs; Trade & Development Canada (DFATD Canada),D000243001,Improving Working Conditions in the Ready-Made Garments Sector
European Union/European Commission (EU/EC),FOOD/2009/216120,School Feeding Component of FS 2006
European Union/European Commission (EU/EC),DCI-ASIE/2013/328022,Ujjibito (RERMP 2) Start up Programme Estimate (crew wage)
Danish International Development Agency (DANIDA),,Support to Water Supply and Sanitation Sector III
United Nations Population Fund  (UNFPA),BGD8U201-FPA90,SRH Information and Services through DGHS
Danish International Development Agency (DANIDA),,Agriculture Growth and Employment Programme (AGEP)
United Nations Population Fund  (UNFPA),BGD8U202-FPA90,Sexual and Reproductive Health Services through DGHS
United Nations Population Fund  (UNFPA),BGD8U203-FPA90,SRH Information and Services through DGHS
Food and Agriculture Organization  (FAO),UTF/BGD/040/BGD,Emergency Cyclone Recovery and Restoration Project (ECRRP)
Australian Aid for International Development (Australian Aid),,Support to ICDDR;B
Danish International Development Agency (DANIDA),,Multi-Sectoral Programme on Violence Against Women
World Bank (WB),P129770,REVENUE MOBILIZATION PROGRAM FOR RESULTS: VAT IMPROVEMENT PROGRAM (VIP)
World Bank (WB),P106161,SECONDARY EDUCATION QUALITY AND ACCESS IMPROVEMENT
World Bank (WB),P111272,EMERGENCY 2007 CYCLONE RECOVERY AND RESTORATION PROJECT
World Bank (WB),P089382,INVESTMENT PROMOTION AND FINANCING FACILITY
World Bank (WB),P120843,PRIVATE SECTOR DEVELOPMENT
World Bank (WB),P122201,LEVERAGING ICT GROWTH; EMPLOYMENT AND GOVERNANCE PROJECT
World Bank (WB),P123828,SECOND RURAL TRANSPORT IMPROVEMENT PROJECT
World Bank (WB),P093988,DHAKA WATER SUPPLY AND SANITATION PROJECT
World Bank (WB),P122269,RURAL WATER SUPPLY AND SANITATION PROJECT
World Bank (WB),P123457,BANGLADESH INTEGRATED AGRICULTURAL PRODUCTIVITY PROJECT
International Fund for Agricultural Development  (IFAD),Not available yet,Promoting Agricultural Commercialisation and Entreprises (PACE)
