iati_identifier,project_id_aims,title_aims,implementing_org,start_date,title_iati
44000-P122269,P122269,RURAL WATER SUPPLY AND SANITATION PROJECT,MINISTRY OF LOCAL GOVERNMENT RURAL DEVELOPMENT AND COOP.,2011-08-25,BD: Rural Water Supply Project
44000-P123457,P123457,BANGLADESH INTEGRATED AGRICULTURAL PRODUCTIVITY PROJECT,NOT FOUND,NOT FOUND,NOT FOUND
44000-P123828,P123828,SECOND RURAL TRANSPORT IMPROVEMENT PROJECT,LOCAL GOVERNMENT ENGINEERING DEPARTMENT,2012-07-09,BD: Second Rural Transport Project
44000-P124514,P124514,LOCAL GOVERNANCE SUPPORT PROJECT II,LOCAL GOVERNMENT DIVISION,2011-09-01,BD: Local Governance Support Project II
44000-P128276,P128276,COASTAL EMBANKMENT IMPROVEMENT PROJECT-PHASE 1,BANGLADESH WATER DEVELOPMENT BOARD,2013-05-22,BD:  Coastal Embankment Improvement Proj
44000-P129770,P129770,REVENUE MOBILIZATION PROGRAM FOR RESULTS: VAT IMPROVEMENT PROGRAM (VIP),"MINISTRY OF FINANCE, PMO. AND INFORMATION COMMISSION",2012-10-02,VAT Improvement Program (VIP)
44000-P129920,P129920,RURAL ELECTRICITY TRANSMISSION AND DISTRIBUTION,"RURAL ELECTRIFICATION BOARD, POWER GRID CORPORATION",2013-04-30,BD: Rural Electricity T and Distribution
44000-P131263,P131263,RURAL ELECTRIFICATION AND RENEWABLEENERGY DEVELOPMENT II,"IDCOL, POWER CELL, REB",2012-09-14,RERED II
44000-P131394,P131394,REACHING OUT OF SCHOOL CHILDREN II,MINISTRY OF PRIMARY AND MASS EDUCATION,2012-10-23,Reaching Out of School Children II
44000-P132634,P132634,SAFETY NET SYSTEMS FOR THE POOREST PROJECT,DEPT.DISASTER MANAGEMENT & BANGLADESH BUREAU OF STATISTICS,2013-07-18,BD: Safety Net Systems for the Poorest
44000-P133653,P133653,MUNICIPAL GOVERNANCE AND SERVICES PROJECT,LOCAL GOVERNMENT AGENCIES,2013-12-12, Municipal Governance and Services Proje
44000-P146464,P146464,MULTIPURPOSE DISASTER SHELTER PROJECT,LOCAL GOVERNMENT ENGINEERING DEPARTMENT,2014-03-27,Multipurpose Disaster Shelter Project
44000-P146520,P146520,INCOME SUPPORT PROGRAM FOR THE POOREST,LOCAL GOVERNMENT DIVISION,2014-05-15,Income Support Program for the Poorest
44000-P149493,P149493,BANGLADESH URBAN RESILIENCE PROJECT,"GOVERNMENT OF BANGLADESH, LOCAL GOVERNMENT DIVISION",2014-12-16,Bangladesh Urban Resilience Project
44000-P149553,NOT FOUND,NOT FOUND,MINISTRY OF AGRICULTURE,2015-02-27,BD NATP Phase 2
44000-P149605,P149605,NUTON JIBON LIVELIHOOD IMPROVEMENT PROJECT,SOCIAL DEVELOPMENT FOUNDATION,2015-03-26,Nuton Jibon Livelihood Improv. Project
44000-P150938,NOT FOUND,NOT FOUND,BANGLADESH BANK,2014-12-18,Financial Sector Support Project
